"ASV","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae;",2,NA,NA,NA,NA,NA,NA,NA,4
"root; cellular organisms; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; unclassified Burkholderiales; unclassified Burkholderiales (miscellaneous); Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_64_960;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria;",2,NA,NA,4,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales;",2,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria;",18,11,7,29,57,49,56,51,13
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio;",1,NA,NA,4,NA,NA,NA,NA,4
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio; unclassified Cellvibrio;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio; unclassified Cellvibrio; Cellvibrio sp. BR;",3,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae;",2,NA,NA,NA,NA,4,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;",1,NA,NA,3,4,2,4,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae;",1,1,NA,NA,NA,2,2,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas;",13,22,24,24,91,89,112,105,15
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; unclassified Pseudomonas; Pseudomonas sp. KBS0710;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;",5,3,5,7,2,3,2,5,7
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae;",2,NA,3,3,3,NA,6,7,3
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae;",2,4,5,NA,4,NA,16,12,2
"root; cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas;",1,3,5,NA,NA,NA,18,8,NA
"root; cellular organisms; Bacteria; PVC group;",2,1,1,2,1,NA,2,2,1
"root; cellular organisms; Bacteria; PVC group; Planctomycetes;",1,4,2,NA,NA,NA,3,3,NA
"root; cellular organisms; Bacteria; PVC group; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Planctomyces; unclassified Planctomyces; Planctomyces sp. SH-PL14;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; PVC group; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae;",2,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; PVC group; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; Nibricoccus; Nibricoccus aquaticus;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Terrabacteria group;",1,14,7,4,21,2,4,11,5
"root; cellular organisms; Bacteria; Terrabacteria group; Actinobacteria <actinobacteria>;",1,3,NA,2,4,NA,3,2,1
"root; cellular organisms; Bacteria; Terrabacteria group; Actinobacteria <actinobacteria>; Actinobacteria; Micrococcales; Dermacoccaceae; Dermacoccus;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Terrabacteria group; Actinobacteria <actinobacteria>; Actinobacteria; Micrococcales; Microbacteriaceae;",2,4,1,3,2,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Candidatus Melainabacteria; unclassified Candidatus Melainabacteria;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Candidatus Melainabacteria; unclassified Candidatus Melainabacteria; Candidatus Melainabacteria bacterium;",29,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Bacteria; Terrabacteria group; Firmicutes;",6,176,13,7,46,30,113,48,14
"root; cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli;",1,1,NA,4,NA,NA,NA,2,NA
"root; cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales;",2,10,NA,NA,3,NA,3,3,4
"root; cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus rhamnosus;",3,21,NA,NA,NA,NA,6,NA,NA
"root; cellular organisms; Eukaryota;",69,144,77,82,45,95,84,63,150
"root; cellular organisms; Eukaryota; Opisthokonta;",5,2,2,1,3,4,5,2,5
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi;",3,2,6,7,3,2,5,3,5
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya;",1,2,1,2,1,1,4,2,2
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina;",3,4,1,2,2,NA,1,1,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta;",14,23,13,24,21,23,34,16,42
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta;",13,17,7,18,20,14,18,17,28
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes;",18,14,8,43,26,17,31,16,32
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae;",19,15,19,18,13,14,22,17,19
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales;",55,71,26,90,79,59,93,62,117
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Clavicipitaceae;",1,NA,NA,NA,NA,3,NA,NA,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Clavicipitaceae; Moelleriella; Moelleriella libera; Moelleriella libera RCEF 2490;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Clavicipitaceae; Pochonia; Pochonia chlamydosporia;",3,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae;",2,3,3,6,5,4,4,5,4
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; Cordyceps;",3,4,NA,NA,NA,NA,7,NA,7
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; Cordyceps; Cordyceps confragosa;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; Cordyceps; Cordyceps confragosa; Cordyceps confragosa RCEF 1005;",2,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Nectriaceae; Fusarium;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Nectriaceae; Fusarium; Fusarium sambucinum species complex; Fusarium longipes;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Pucciniomycetes; Pucciniales; Pucciniaceae; Puccinia; Puccinia striiformis; Puccinia striiformis f. sp. tritici; Puccinia striiformis f. sp. tritici PST-78;",1,NA,NA,NA,NA,NA,NA,NA,NA
"root; cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Malasseziomycetes; Malasseziales; Malasseziaceae; Malassezia;",1,NA,NA,NA,NA,NA,NA,NA,NA
